year,combatants_mode,combatants_min,combatants_max,civilians_mode,civilians_min,civilians_max,mig_west_mode,mig_west_crossings,mig_west_register,mig_ru_by_mode,mig_ru_by_min,mig_ru_by_max
2022,27442,25238,29637,23155,16755,38446,3871163,3367000,4375326,1284402,700000,2000000
2023,36522,36183,36794,2595,2139,3442,434454,161000,707909,NA,NA,NA
2024,53870,52986,54513,2356,1864,3050,277701,459000,96402,NA,NA,NA
2025,60225,58401,61824,2632,2427,3990,198859,303000,94718,NA,NA,NA
Total,178059,172808,182768,30738,23185,48928,4782177,4290000,5274355,1284402,700000,2000000
