year,Females,Males,Total
2022,"9,248 (6,869-12,322)","44,485 (40,398-49,746)","53,733 (47,281-62,078)"
2023,"1,139 (972-1,338)","38,044 (37,487-38,458)","39,183 (38,539-39,768)"
2024,"1,074 (912-1,254)","55,235 (54,336-55,865)","56,309 (55,362-57,048)"
2025,"1,137 (1,004-1,353)","62,043 (58,890-63,569)","63,180 (60,002-64,813)"
Total,"12,599 (10,194-15,688)","199,807 (193,569-205,865)","212,405 (204,427-221,360)"
