role,Females,Males,Total
Civilians,"12,172 (9,767-15,262)","20,318 (16,223-25,599)","32,491 (25,995-40,864)"
Registered combatants,393 (393-393),"89,322 (89,322-89,322)","89,714 (89,714-89,714)"
Late registrations (estimated),8 (7-9),"1,907 (1,752-2,071)","1,915 (1,759-2,080)"
Missing combatants (imputed),26 (24-27),"88,259 (83,667-90,719)","88,285 (83,691-90,745)"
Total,"12,599 (10,194-15,688)","199,807 (193,569-205,865)","212,405 (204,427-221,360)"
