year,role,Females,Males
2022,Civilians,1.195 (0.883-1.597),1.493 (1.101-1.993)
2023,Civilians,0.144 (0.121-0.172),0.159 (0.133-0.191)
2024,Civilians,0.117 (0.097-0.139),0.126 (0.103-0.151)
2025,Civilians,0.115 (0.099-0.140),0.154 (0.129-0.190)
2022,Registered combatants,0.028 (0.027-0.029),2.405 (2.277-2.527)
2023,Registered combatants,0.014 (0.013-0.014),2.824 (2.647-2.992)
2024,Registered combatants,0.017 (0.016-0.018),2.733 (2.536-2.918)
2025,Registered combatants,0.016 (0.015-0.017),1.898 (1.751-2.035)
2022,Late registrations (estimated),0.000 (0.000-0.000),0.002 (0.001-0.002)
2023,Late registrations (estimated),0.000 (0.000-0.000),0.023 (0.019-0.028)
2024,Late registrations (estimated),0.000 (0.000-0.000),0.066 (0.057-0.075)
2025,Late registrations (estimated),0.001 (0.001-0.001),0.120 (0.108-0.132)
2022,Missing combatants (imputed),0.001 (0.001-0.001),0.816 (0.753-0.874)
2023,Missing combatants (imputed),0.000 (0.000-0.000),1.157 (1.068-1.236)
2024,Missing combatants (imputed),0.001 (0.001-0.001),2.807 (2.587-3.013)
2025,Missing combatants (imputed),0.004 (0.004-0.005),4.422 (3.979-4.809)
