year,sex,Civilian deaths,Missing alive,Bound's release windows,Registration lag,Counterfactual forecast,Migration: western,Migration: Russia / Belarus,Interaction
2022,Females,98.7%,0.0%,0.0%,0.0%,0.4%,0.2%,0.2%,0.4%
2022,Males,62.2%,13.5%,4.6%,0.0%,18.0%,0.1%,0.1%,1.5%
2023,Females,93.2%,0.0%,0.0%,0.0%,2.6%,1.6%,2.2%,0.3%
2023,Males,1.3%,1.2%,0.9%,0.1%,93.4%,1.7%,0.9%,0.4%
2024,Females,91.8%,0.0%,0.0%,0.0%,3.9%,2.0%,2.4%,-0.1%
2024,Males,0.4%,1.5%,1.2%,0.4%,94.5%,1.1%,0.7%,0.3%
2025,Females,89.7%,0.0%,0.0%,0.0%,5.2%,2.3%,2.3%,0.4%
2025,Males,0.3%,6.5%,8.2%,0.4%,81.8%,0.0%,0.5%,2.3%
