evidence,share_of_missing_alive,as registered,to 48 months (used),to 60 months,to 72 months
floor,0.04,"171,462 / 6.03","183,205 / 6.70","188,848 / 6.90","194,796 / 7.10"
2.5th percentile,0.045,"170,949 / 6.00","182,678 / 6.67","188,315 / 6.87","194,255 / 7.07"
central,0.055,"170,055 / 5.96","181,762 / 6.63","187,388 / 6.82","193,316 / 7.02"
97.5th percentile,0.075,"168,337 / 5.88","179,968 / 6.54","185,553 / 6.74","191,440 / 6.94"
cap,0.113,"165,033 / 5.72","176,506 / 6.38","182,013 / 6.57","187,818 / 6.77"
