sex,measure,2022,2023,2024,2025
Females,Counterfactual,94.3 (84.9-104.5),92.7 (81.8-104.6),91.1 (79.1-104.3),89.5 (76.3-104.1)
Females,With conflict deaths,111.3 (100.8-122.6),95.2 (84.3-107.0),93.4 (81.4-106.5),91.9 (78.8-106.5)
Females,Difference,16.9 (12.7-22.4),2.5 (2.1-2.9),2.3 (1.9-2.6),2.4 (2.1-2.8)
Males,Counterfactual,263.4 (225.4-305.2),259.4 (215.8-308.0),255.4 (206.9-310.6),251.6 (198.8-312.4)
Males,With conflict deaths,365.6 (331.8-402.7),358.0 (319.9-400.3),398.1 (358.5-443.3),413.4 (371.0-461.8)
Males,Difference,102.2 (93.1-112.3),98.7 (92.2-104.5),142.7 (132.2-151.8),161.8 (147.8-173.9)
