missed,combatant_deaths,female_2022,male_2022,female_2023,male_2023,female_2024,male_2024,female_2025,male_2025
0%,179730,1.153,4.628,0.154,4.153,0.133,5.714,0.128,6.56
10%,199700,1.156,4.963,0.155,4.571,0.135,6.285,0.131,7.209
25%,239640,1.162,5.625,0.159,5.394,0.139,7.397,0.135,8.472
40%,299550,1.172,6.595,0.163,6.593,0.145,8.999,0.143,10.281
