scenario,male_2022,male_2023,male_2024,female_2025,male_2025
Mode,4.69,4.13,5.63,0.128,6.46
A2: western mode a third of the way from the crossings reading,4.68,4.11,5.61,0.127,6.46
A9: Russia and Belarus on the Donetsk-Luhansk population structure,4.72,4.18,5.7,0.125,6.55
"A5: crossings end, additive (as used)",4.67,4.08,5.57,0.124,6.46
"A5: crossings end, proportional",4.69,4.13,5.64,0.128,6.51
"A5: register end, additive (as used)",4.72,4.18,5.68,0.133,6.47
"A5: register end, proportional",4.69,4.13,5.61,0.129,6.42
A10: Canada and USA 30% lower,4.69,4.12,5.61,0.128,6.45
A10: Canada and USA 30% higher,4.69,4.13,5.64,0.129,6.48
