check,scenario,male_2022,male_2023,male_2024,female_2025,male_2025
Population base of Donetsk and Luhansk,SSSU (used),4.63,4.15,5.71,0.128,6.56
Population base of Donetsk and Luhansk,Donetsk and Luhansk 0.5 million lower,4.68,4.2,5.78,0.13,6.64
Population base of Donetsk and Luhansk,Donetsk and Luhansk 1.0 million lower,4.73,4.25,5.85,0.132,6.72
Population base of Donetsk and Luhansk,Donetsk and Luhansk a quarter lower,4.79,4.3,5.92,0.134,6.8
Population base of Donetsk and Luhansk,Donetsk and Luhansk half lower,4.97,4.47,6.15,0.14,7.07
Population base of Donetsk and Luhansk,Donetsk and Luhansk taken out,5.36,4.84,6.66,0.155,7.66
Population base outside Donetsk and Luhansk,"Outside Donetsk and Luhansk, 0.5 million fewer aged 20-64",4.71,4.23,5.82,0.131,6.69
Population base outside Donetsk and Luhansk,"Outside Donetsk and Luhansk, 1.0 million fewer aged 20-64",4.79,4.31,5.93,0.133,6.82
Population base outside Donetsk and Luhansk,"Outside Donetsk and Luhansk, 0.5 million fewer aged 20-64, two thirds of them men",4.74,4.26,5.86,0.13,6.73
Population base outside Donetsk and Luhansk,"Outside Donetsk and Luhansk, 1.0 million fewer aged 20-64, two thirds of them men",4.85,4.38,6.02,0.131,6.92
Timing of 2022's deaths and departures,months of the events (used),4.63,4.15,5.71,0.128,6.56
Timing of 2022's deaths and departures,mid-year convention,4.56,4.15,5.71,0.128,6.56
Timing of 2022's deaths and departures,"deaths at their months, net outflow mid-year",4.56,4.15,5.71,0.128,6.56
Timing of 2022's deaths and departures,net outflow at 1 April,4.66,4.15,5.71,0.128,6.56
