year,Females,Males,Total
2022,"9,129 (6,870-12,323)","44,950 (41,089-50,393)","54,084 (47,959-62,728)"
2023,"1,136 (975-1,341)","38,374 (38,011-38,781)","39,513 (39,027-40,085)"
2024,"1,078 (919-1,261)","55,609 (54,947-56,226)","56,687 (55,952-57,398)"
2025,"1,130 (1,013-1,362)","62,459 (61,517-63,328)","63,599 (62,614-64,587)"
Total,"12,503 (10,213-15,707)","201,409 (197,083-207,109)","213,910 (207,453-222,722)"
