year,group,mean,lo,hi
2022,Men aged 20-50,8.562,8.529,8.594
2023,Men aged 20-50,8.2,8.131,8.268
2024,Men aged 20-50,7.877,7.807,7.945
2025,Men aged 20-50,7.505,7.45,7.556
2022,"Men, all ages",17.682,17.542,17.821
2023,"Men, all ages",16.75,16.501,16.998
2024,"Men, all ages",16.215,15.958,16.469
2025,"Men, all ages",15.667,15.445,15.882
2022,"Both sexes, all ages",37.229,36.818,37.634
2023,"Both sexes, all ages",34.868,34.193,35.539
2024,"Both sexes, all ages",34.034,33.324,34.741
2025,"Both sexes, all ages",33.31,32.651,33.958
