scenario,military_deaths,military_lo,military_hi,male_2022,male_2023,male_2024,female_2025,male_2025
to 48 months (used),179730,179168,180585,4.63,4.15,5.71,0.128,6.56
"exponential tail, to 72 months",184152,181777,187414,4.67,4.21,5.84,0.129,6.75
"exponential tail, to 96 months",187351,182698,194805,4.7,4.25,5.94,0.129,6.9
"exponential tail, to 120 months",189709,183114,202861,4.72,4.28,6.01,0.129,7
"inverse power tail, to 72 months",185272,183247,187733,4.69,4.24,5.88,0.129,6.79
"inverse power tail, to 96 months",190154,185935,195169,4.74,4.3,6.02,0.129,7
"inverse power tail, to 120 months",194673,188033,202982,4.78,4.36,6.15,0.129,7.19
"exponential tail, to its limit",196095,NA,NA,4.78,4.36,6.19,0.129,7.29
