scenario,military_deaths,male_2022,male_2023,male_2024,female_2025,male_2025
as registered,171395,4.62,4.1,5.49,0.127,6.04
to 48 months (used),179730,4.63,4.15,5.71,0.128,6.56
to 60 months,183380,4.67,4.21,5.82,0.129,6.71
to 72 months,187201,4.71,4.27,5.93,0.129,6.87
