cohort,window,missing_at_risk,missing_no_longer_listed,missing_pct,dead_at_risk,dead_dropped,dead_pct
2022,v14-v15,9374,256,2.73,20230,80,0.4
2022,v15-v16,9117,20,0.22,20229,14,0.07
2022,v16-v17,9076,54,0.59,20246,146,0.72
2022,v17-v18,8979,7,0.08,20338,17,0.08
2022,v18-v19,9175,476,5.19,20365,188,0.92
2023,v14-v15,12007,44,0.37,23007,47,0.2
2023,v15-v16,11902,4,0.03,23062,25,0.11
2023,v16-v17,11820,23,0.19,23071,163,0.71
2023,v17-v18,11629,3,0.03,23209,15,0.06
2023,v18-v19,11462,101,0.88,23257,183,0.79
2024,v14-v15,30392,80,0.26,20205,48,0.24
2024,v15-v16,29948,20,0.07,20407,23,0.11
2024,v16-v17,29500,98,0.33,20442,90,0.44
2024,v17-v18,28918,11,0.04,20716,18,0.09
2024,v18-v19,28082,263,0.94,20818,124,0.6
2025,v14-v15,26444,54,0.2,8999,54,0.6
2025,v15-v16,31131,19,0.06,10130,7,0.07
2025,v16-v17,35842,147,0.41,11513,85,0.74
2025,v17-v18,39766,19,0.05,13309,29,0.22
2025,v18-v19,40133,289,0.72,13600,45,0.33
