Year,Region,Sex,Data,age0,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13,age14,age15,age16,age17,age18,age19,age20,age21,age22,age23,age24,age25,age26,age27,age28,age29,age30,age31,age32,age33,age34,age35,age36,age37,age38,age39,age40,age41,age42,age43,age44,age45,age46,age47,age48,age49,age50,age51,age52,age53,age54,age55,age56,age57,age58,age59,age60,age61,age62,age63,age64,age65,age66,age67,age68,age69,age70,age71,age72,age73,age74,age75,age76,age77,age78,age79,age80,age81,age82,age83,age84,age85,age86,age87,age88,age89,age90,age91,age92,age93,age94,age95,age96,age97,age98,age99,age100
2009,CompleteOnly,males,Ex,214152.5,204507.5,193681,184761.5,178467.5,174751.5,167650,161352,160199.5,162723.5,168286,177842,189333.5,200284,207756,217211,231662.5,248558.5,262408,274294.5,288517,300051,312678,316319.5,314120.5,320309.5,309555,289530.5,285420,280577.5,271417.5,265211.5,267052,270650,264621.5,258322,258410,260310,257396.5,245418,237189,237117,237585,236806.5,238668,250310.5,259113,264605.5,271388,267463.5,257775,249330,240659,230138.5,223967.5,214051.5,206611,209742.5,206805.5,207405.5,192327,163404,146614,115277,100001.5,101573,105734,132573,147573,149909,153624,156256.5,139983.5,110983,84545.5,63875.5,62329.5,67067,71190,67230,58376.5,52757,43718.5,34749,27614,21113,15678.5,11954,9205.5,6561,4751.5,3198,1931.5,1435.5,1261.5,963.5,922,667,245,152,228
2010,CompleteOnly,males,Ex,211902.5,213828.5,204390.5,193626.5,184728,178448,174724,167612,161332.5,160157,162698,168266.5,177814,189263.5,200200,207659.5,217236,232653.5,248941.5,262454.5,274086,288065.5,299121,311685,315598,313525.5,319632.5,308813.5,288821.5,284650,279666,270433,264099,265921.5,269463,263267,257049,257000,258865,255894.5,243849,235533.5,235414.5,235731,234838.5,236459,247926,256444,261642,268220.5,263993,254248,245614,236789.5,226217,219720,209802.5,202061.5,204923,201771,201690.5,186403,158229.5,141612.5,111242,96055,97262,100954.5,126360,140305.5,141790,144631.5,146489,130708,103000.5,77971.5,58476,56754,60668.5,63946,59643.5,51091,45907,37708.5,29816,23274.5,17512.5,12717.5,9703,7475.5,5199.5,3569,2398,1441.5,982.5,845.5,646,696,524,181,282
2011,CompleteOnly,males,Ex,209729.5,211592,213736,204329,193574.5,184698.5,178439.5,174689.5,167581,161296.5,160141.5,162668.5,168238.5,177756,189169,200114.5,207668,217899.5,232980,249007.5,262318.5,273705,287183,298207.5,311032.5,315023.5,312986,319026.5,308207.5,288122,283902.5,278864,269480,263097,264846,268271,262044.5,255760,255704.5,257495,254438,242308,233944.5,233788.5,233921,232951,234456.5,245572.5,253845,258852.5,265068,260680.5,250704,241986,233072.5,222354,215590,205523,197703,200123.5,196609.5,195851.5,180762,153062,136750.5,107215,92195,93060.5,96242.5,120130.5,133080.5,133835,135750,136856,121538,95257.5,71527,53338,51427,54571,57021,52625,44385,39603.5,32385.5,25314.5,19431,14391,10300.5,7807,6043,4126,2668.5,1806.5,1087,659,567.5,438,558.5,454,361.5
2012,CompleteOnly,males,Ex,214762.5,209446.5,211520.5,213696,204295.5,193542,184692,178418,174657,167578,161280.5,160123.5,162653.5,168202.5,177702.5,189091,200138.5,208722,219819,234556.5,250408.5,263363,274161.5,287562.5,298602.5,311228,315044.5,312904.5,318784.5,307853,287670.5,283327,278174.5,268558.5,262164.5,263793,267190,260841.5,254523.5,254415,256158.5,252977,240827.5,232396.5,232110.5,232102.5,231113.5,232388.5,243185.5,251212.5,255871.5,261907,257249,247136,238340.5,229132.5,218275,211329,201164,193161.5,195058,191189,190053.5,174876,147896,131861.5,103075,88365.5,88787.5,91541.5,114056,125894,125900.5,127085.5,127431,112734,87754.5,65340,48512,46451.5,48753.5,50704,46075,38377.5,34037.5,27644.5,21313,16230,11803.5,8317,6270,4945,3301,1975,1375.5,813,450.5,397,309.5,486,702.5
2013,CompleteOnly,males,Ex,215110.5,214528.5,209389.5,211471,213699,204281.5,193533.5,184694,178406,174654.5,167565.5,161275,160124,162615.5,168184.5,177644,189160.5,201812,211707,222234.5,236636.5,251880.5,264017.5,274764,288071.5,298770.5,311227,315010,312749.5,318543,307421.5,287117,282734.5,277291,267652.5,261122.5,262758,266007,259603.5,253200.5,253086,254723.5,251493.5,239203,230809,230322.5,230213.5,229111,230155,240660.5,248266.5,252744.5,258550,253626.5,243360.5,234223,224943,214062,206858,196602.5,188253.5,189632,185466.5,183906.5,168877.5,142549,126723.5,98877.5,84430.5,84428.5,86806.5,107805.5,118804,118133,118378.5,118137,103977.5,80321.5,59413,43855.5,41551.5,43250.5,44639,40129.5,32795.5,28876.5,23294.5,17821.5,13460.5,9531.5,6636,4990.5,4020,2633,1446.5,1044,636.5,336.5,279,241,1057.5
2014,CompleteOnly,males,Ex,212989,214944.5,214491.5,209372.5,211488,213720.5,204303.5,193553.5,184710.5,178426.5,174682.5,167568,161290,160097.5,162595.5,168161.5,177732.5,190669,204109,213568,223595,237157,251550.5,263655,274434.5,287533.5,298254.5,310796,314543.5,312281,317915.5,306721,286443,281859.5,276340,266576.5,260012.5,261544.5,264754,258208,251789,251604.5,253194.5,249817,237589.5,229045.5,228403,228108.5,226962,227780,237826,245237.5,249428.5,254972,249801.5,239278.5,230004,220631.5,209603.5,202186.5,191735.5,182958.5,183881.5,179556.5,177662.5,162710,137056.5,121456,94618,80353,79952,81941.5,101609.5,111567,110158,109675,108692,95026,72930.5,53476.5,39267,36771.5,37986,38989,34501.5,27599,24173.5,19351,14755.5,10896.5,7605,5158,3918.5,3288.5,2129.5,1044.5,818,521.5,252.5,220.5,1160.5
2015,CompleteOnly,males,Ex,207218.5,212802,214916.5,214504,209378,211525.5,213749.5,204336,193584.5,184730.5,178455.5,174695,167570.5,161281,160088.5,162591.5,168257,178970,192450.5,205667,214724,223812,236842,251136.5,263284,273918,287024.5,297767.5,310298,314013.5,311656.5,317184.5,305981,285552,280901.5,275282,265460,258827.5,260269.5,263332.5,256679,250213,250043,251509.5,248125.5,235817,227197,226264,225961.5,224618,225175,235043.5,242078,245988,251263.5,245655.5,235040.5,225551.5,216080,204914.5,197187,186336.5,177487.5,177944,173456.5,171178,156288.5,131297.5,116045.5,90119,76126.5,75353,76962,95083,104112.5,102007.5,100692,99142,86096,65548.5,47745,34703.5,32179.5,32903,33612,29248.5,22826.5,19905.5,15884.5,11928.5,8724,5971.5,3939.5,3070.5,2711.5,1717,783.5,654.5,439.5,207.5,1240
2016,CompleteOnly,males,Ex,195306,206964.5,212729.5,214883.5,214487,209383.5,211515.5,213759,204334.5,193570,184724,178444,174676,167552,161254,160060.5,162608,168846,179883.5,193390,206304.5,214766,223646,236508.5,250788.5,262879,273500,286584,297310,309756.5,313363.5,310961,316367.5,305029,284604.5,279827.5,274146,264228,257529.5,258848,261748,255063.5,248546.5,248289,249722.5,246242.5,233895.5,225118.5,224064,223603,222067.5,222490,232006,238682.5,242340.5,247170,241266.5,230511,220890,211330,199755,191630.5,180834,171647.5,171716,167137.5,164502,149746,125424,110473.5,85545.5,71807.5,70715.5,71862,88510,96576.5,93872,91807,89792,77476.5,58482.5,42241.5,30413.5,27847.5,28197.5,28654,24450.5,18573,16176,12803.5,9507.5,6946,4638,3003,2428,2250,1446.5,611,557,381.5,1324.5
2017,CompleteOnly,males,Ex,182388.5,195159.5,206940,212741.5,214902.5,214527,209418.5,211564.5,213802,204351,193599.5,184747,178464.5,174685,167571,161258,160094.5,163137.5,170108.5,181345,194328.5,206607,214622.5,223330.5,236216.5,250426.5,262523.5,273101,286230,296846.5,309200,312794,310252.5,315551,304149,283647,278858.5,272999.5,263045.5,256236,257406.5,260268.5,253478,246787,246512,247903,244280,231843,223029,221799.5,221066.5,219442.5,219663,228858.5,235166,238523,242954,236820,225830,216151,206135,194430,186121,175175,165938.5,165600,160957,157829.5,143216,119534,104979,80971,67603,66124.5,66778,82147.5,89294,85831.5,83323.5,80903,69270.5,51869,37114,26437.5,23887.5,23940.5,24236.5,20269.5,14899.5,12979,10195.5,7509,5526,3616,2326.5,1946,1957,1277,497.5,489.5,1594
2018,CompleteOnly,males,Ex,167779.5,182357.5,195169,206981.5,212786,214963.5,214598.5,209467.5,211625.5,213836,204384,193637.5,184777.5,178484.5,174747,167607.5,161333,161043.5,165146.5,172453,182825,194863,206412.5,214292,222918,235860.5,250149,262179,272847.5,285862,296445,308670.5,312137,309506.5,314732,303193,282694.5,277777,271851.5,261741.5,254795.5,255896.5,258709,251665.5,244937,244667.5,245908,242101.5,229690.5,220806,219228.5,218362,216651,216700,225552,231328,234378.5,238500,232011,220966.5,210924.5,200661.5,188920.5,180428,169605.5,160081,159357.5,154435,151005.5,136457,113584,99375,76402.5,63356.5,61467,61793.5,75898,82016,78081,75160,72317.5,61400,45627,32265,22704,20247,20130,20345,16647.5,11772,10306,7970,5923,4420,2848,1879.5,1638.5,1736.5,1151,432,1966.5
2019,CompleteOnly,males,Ex,155066,167787.5,182323,195169,206995,212789.5,214975.5,214611,209465.5,211617,213851.5,204379,193626,184778.5,178521,174770.5,167649.5,162383.5,163027.5,167786,174153,183508,195033,206338.5,213945,222701,235733.5,249936,261980,272588,285535.5,295943.5,307983,311289.5,308661.5,313673,302070,281504.5,276519.5,270451.5,260165.5,253146.5,254197,256795.5,249706,242889,242556,243608,239742.5,227320.5,218208.5,216479,215425.5,213555.5,213484,221686,227190,229919.5,233616,226963.5,215504,205183.5,194870,183089.5,174568.5,163505.5,153896,152794.5,147728.5,143961,129405,107479,93583.5,71713,59001.5,56768,56778.5,69532,74877,70578,67182.5,63919,53993,39743,27711.5,19258,16969,16740,16944.5,13506,9144,8000.5,6221.5,4724.5,3591,2348,1573.5,1422.5,1603,1069,2278
2020,CompleteOnly,males,Ex,145913,155122.5,167775.5,182329,195181,206992.5,212788,215000,214615.5,209453.5,211645.5,213855,204377.5,193627.5,184822,178554,174786,168517,163778.5,164858,168917.5,174482,183553,194799,205919,213543.5,222456,235471.5,249670.5,261680,272226,285048,295280.5,307138.5,310366,307637,312540.5,300793.5,280228,275138.5,268821,258518.5,251407,252255,254826,247550.5,240723,240245,241222,237207.5,224642.5,215517,213523,212208.5,210269.5,209793,217714,222762,225131,228401.5,221201.5,209551.5,199028,188539.5,176817.5,167967.5,157039.5,147280.5,145742,140505.5,136167,121924,100870,87318.5,66702,54451,51774.5,51586,62997.5,67530,62883,59062,55612.5,46543,33866.5,23264.5,15970.5,13958,13597,13904,10714.5,6892,6134,4827,3774,2963.5,1993,1364.5,1297,1504,3221.5
2021,CompleteOnly,males,Ex,137838.5,146099,155161.5,167800.5,182344.5,195202,207016.5,212799,215021.5,214613,209470,211659.5,213856.5,204353.5,193654.5,184848.5,178541.5,175473.5,169528,165069,165687.5,169165.5,174399.5,183272.5,194412.5,205574.5,213331,222329.5,235354.5,249484,261412.5,271823,284488.5,294536.5,306245,309329,306573,311305,299412.5,278788.5,273521.5,267117,256707,249447,250206,252574.5,245225.5,238294.5,237690.5,238498,234185.5,221732,212433.5,210215,208701,206458,205786,213131,217670.5,219576,222224,214666,202717.5,191962.5,181397,169553.5,160637.5,149447,139668.5,137543,132070,127367,113197,93055,80148,60834,49182,46222,45754.5,55721.5,59321.5,54579.5,50195.5,46722,38634.5,27850,18787.5,12766.5,10960.5,10671.5,11027.5,8234,4998,4596.5,3698.5,3015.5,2503,1740.5,1221,1207.5,4583.5
1989,CompleteOnly,females,Ex,280547,288582.5,295917,301151.5,300616,306392.5,298461,282675.5,282324,283857.5,281278,280120,284634.5,289864,287948.5,288095,292258.5,292749.5,280429,266202.5,261740,264890.5,266723.5,266968,271995.5,289808.5,305178,312355.5,320771.5,324556,319654.5,314976.5,310901,303309,302134.5,295756.5,292710.5,298837.5,298241,308662,295792,260455.5,241824,197780.5,180326,191066.5,206422.5,262676.5,299006,322119,351876,370408.5,344315,287666,233977,195340,214561,247392,276888.5,300948.5,310506,313805,307819,304518,299560.5,283696.5,261959.5,236077,200803.5,188125.5,173779.5,141468,126867.5,141021.5,179639.5,189427,186850,178366.5,150889,137440.5,121633.5,107415.5,95688.5,82065,68111,57417.5,48685,35219,31927.5,23517,13286.5,11100,8548.5,6887.5,5029,3767,3055.5,2199.5,1966,1693,2291
1990,CompleteOnly,females,Ex,264278.5,280881.5,289401.5,297135.5,302286.5,301342.5,307167.5,298814,282975,282730,283875,280976,279679,284176,289478,289837.5,289037,294955,291158.5,279248.5,266711.5,261944,264267,266336.5,266928,272167.5,290085,305061,312363.5,320626,324312.5,319307.5,314618,310260.5,302795.5,301396.5,294911,292007.5,298258,297705,308160.5,295084.5,259735,241224,197469.5,179995.5,190667,205814,261873,298072,320976.5,350229,368508,342312,285956,232465,193703,212373.5,244736.5,274179.5,297577.5,306226,309312,303044,299371,294091.5,277984.5,256130.5,230561,195586.5,182132.5,168350,136375.5,121371.5,134523,170736,178993.5,175694,166397,139687,125987.5,110520.5,96432.5,85190.5,72066.5,58994.5,49080,40958.5,29156,25655,17540,9172,7202,5554,4361.5,3419,2678,2408.5,1831,1852.5,2664
1991,CompleteOnly,females,Ex,253287,264496,281153.5,290107.5,298150.5,303236.5,302287,308019.5,299315,283437,283267.5,284034,280871,279308.5,283986,290806.5,289613.5,290085.5,293659.5,290479.5,279683.5,267035.5,261774,264183.5,266456.5,267349.5,272708,290502,305299,312592.5,321228.5,324738,319558.5,314558.5,310291.5,302855,301324.5,294740.5,291565,298058.5,297611,307858.5,294760.5,259198,240841.5,197175,179666.5,190165,205138,261027,297296,319841,348629.5,366633.5,340434.5,284279,230873.5,192000.5,210153,242026,271497.5,294342,301911,304775,298143,294085,288202.5,271696,250004.5,224499.5,189835,175709,162335,131080,115416,127678.5,161440,168300.5,163998,154121.5,127982,114449.5,99096,85613.5,74622.5,62458.5,50202,41116.5,33770.5,23081.5,19179.5,12185.5,5304.5,4057.5,3071,2701.5,2365,2171.5,2195.5,2017,2704
1992,CompleteOnly,females,Ex,243323.5,253983,265656.5,282315,291531,300010.5,305032.5,304005.5,309752,300657.5,284631.5,284444.5,284817,281422.5,279758.5,285455.5,291186.5,292024.5,290534.5,292834.5,290102.5,279988.5,266418,261664.5,264660.5,267293.5,268544.5,273993,291764,306584.5,314383.5,322959.5,326187,320764,315698,311407.5,303838.5,302024,295234,292011,298678.5,298238.5,308237,294892.5,259261,240787,197163.5,179400,189751.5,204520,260543.5,296769.5,319001,347264,364858,338733.5,282586,229328,190246,207928.5,239259,268774.5,290796.5,297512,300016.5,292860,288340,281869,265099.5,243105.5,217768,183549,168741,156001,125263,109281.5,120532,151667,156787.5,151900,141216,116050.5,102445,87754.5,74719,64341.5,53060.5,41862.5,33775,27182,17896,14545,8789,3259.5,2458,1868,1832,1773,1847,2057,2339
1993,CompleteOnly,females,Ex,230117,243572,255055,266759,283433.5,292806.5,301734,306707,305744,311385,301863,285734,285476.5,285562.5,281930,281275.5,286290.5,293088,292716,289175.5,291425,289201.5,278192.5,265799,261864,265032.5,268035.5,269500,275065.5,293001,307994.5,315753.5,324450,327440,321765.5,316703,312220.5,304465.5,302468,295590.5,292269,299026,298533.5,308370,294723.5,258871.5,240513.5,196795,178982,189095,203917,259828.5,295937,317797,345501,362845.5,336630,280451,227367,188235,205324,236158,265482.5,286873.5,292450.5,294466.5,287032,281892.5,274834.5,257507.5,235547.5,210424,176557,161362.5,148910,118947,102693,112779.5,140924.5,144690,138915.5,127609.5,103663,90372.5,76151,63926.5,54359.5,43973,34194,26908.5,21146.5,13624.5,11151,6540,2139.5,1610,1247,1329,1411,1619,1976
1994,CompleteOnly,females,Ex,214990.5,228957,242969.5,254621,266489.5,282782,292436,301929,306902.5,305989.5,311557,301893,285639.5,285448,285257.5,281834.5,280657,284592.5,291979.5,290776,287057,288896,286166.5,276472,264932,260905,264167,267258.5,268920,274579,292443,307515.5,315288,324303.5,326981,321234,316192,311596,303817,301678.5,294639,291236.5,298076.5,297738,307324.5,293442,257645,239265,195834,178041,187983,202818.5,258421,294330,315805.5,342876,359833.5,333459,277585.5,224813.5,185687.5,202393,232522,261638.5,282144.5,286615,288132.5,280193,274545.5,266739,249003.5,227073.5,202022,168920,153181,140958,112034,95494,104396.5,129464.5,131483.5,125077.5,113696,90966.5,78005,64872,53561.5,44789.5,35597,27123.5,20754,16037.5,10249,8623.5,4983.5,1498.5,1133.5,901.5,1017.5,1158.5,1451.5
1995,CompleteOnly,females,Ex,202085.5,213679.5,227710,241887.5,253763.5,265541,281510.5,291553.5,301409.5,306512.5,305639,311286.5,301355,285091,284991,284768.5,280746.5,278784,283306,290189.5,288693,284409.5,285157.5,283443,274905,263820,259655,262745.5,265980.5,267646,273371.5,291202,306242,314182,323367,325822.5,320053,314980.5,310308.5,302500.5,300209.5,293171,289570,296628.5,296437.5,305739,291702.5,255790.5,237644.5,194572.5,176733.5,186728,201285,256579.5,292163.5,313063,339682.5,356090.5,329671,274232.5,221800,182890.5,198982,228405.5,257208,276775.5,280006.5,281146.5,272810,266415.5,257701.5,239765,217657,193069.5,160646.5,144420.5,132585,104677.5,88026,95576,117331.5,118151,111114,99641.5,78478.5,66374.5,54223,44066.5,36111,28247.5,20894.5,15732,11919,7673.5,6709.5,3872,1111.5,849.5,690.5,809.5,978
1996,CompleteOnly,females,Ex,192203.5,201241.5,212663.5,226605.5,240951.5,253016,264588.5,280368.5,290524,300944,306141.5,305346.5,310915.5,300824.5,284508.5,284659.5,283929.5,279287,277692.5,281737,288437.5,286425,280887.5,282314,281373.5,273840,262984.5,258526.5,261545,264664.5,266430.5,272260,290066.5,304996,312937.5,322416,324608,318754,313593,308849,301069,298735,291602.5,287837,295079,294921.5,304017,289773,253825,235942.5,193110,175429,185250.5,199706,254486,289705.5,310281.5,336141.5,351980,325722,270568.5,218624.5,179868,195392.5,223978.5,252429.5,271097.5,273083,273736,264886,257736,248360,230065.5,207926,183586,152034,135529,123909,97147.5,80493,86765,105622.5,104983,97453,86141.5,66734.5,55613,44571.5,35516.5,28625.5,21800.5,15788.5,11716,8757,5679.5,5253.5,3054.5,867.5,671.5,557,659
1997,CompleteOnly,females,Ex,182845.5,191756.5,200703.5,211683,225606.5,240012,252158,263794.5,279104,289603.5,300490.5,305854,305042,310620.5,300283.5,284053,284207,283010.5,278465.5,276180.5,280083,286649.5,283290,278287.5,279817.5,279716.5,272955,262355.5,257601,260312.5,263466.5,265425.5,271284,288891.5,303672,311788,321504,323404,317444.5,312261,307389.5,299730,297277.5,290025,286080,293434,293398,302261,287778,251949,234194,191753,174105.5,183796,198020.5,252290.5,287243.5,307339.5,332429.5,347847,321492,266876,215372,176794.5,191582.5,219406,247528.5,265128.5,265859,265960.5,256536,248773.5,238673.5,220131.5,197862.5,173757.5,143183,126247,115022.5,89717,72972,78237.5,94028.5,92213.5,84483.5,73525,56002.5,45738,36027,28162.5,22045.5,16537.5,11732.5,8609,6234.5,4150,4131,2441.5,700.5,550,447
1998,CompleteOnly,females,Ex,173521.5,182201,191756.5,200205.5,210792.5,224604,239097.5,251423.5,262897.5,278029,288658.5,300117,305542,304712.5,310331.5,299886,283543.5,283830,282505.5,276986,274691,278567.5,283996.5,281010.5,276075,277734.5,278176,272244.5,261756.5,256746.5,259361,262457,264489,270245,287797,302466,310687,320635.5,322266.5,316207.5,310910,306059.5,298489.5,295876,288471.5,284356,291859,291888.5,300425,285855,250106.5,232478.5,190419.5,172787,182344.5,196281.5,250128,284790,304347.5,328756.5,343580,317378.5,263116,212079,173615.5,187682,214764,242430,258986.5,258307.5,257870,247896.5,239494,228796.5,209804.5,187356.5,163766,134108.5,116964.5,106175,82093.5,65677.5,69835,82801,80203,72475,62003.5,46127.5,37317.5,28551,21782,16785.5,12316.5,8624.5,6097.5,4341.5,2995,3264.5,1965.5,588,442
1999,CompleteOnly,females,Ex,162302,172544.5,181805.5,191691.5,199725.5,209956.5,223604,238204.5,250687,262165,276881.5,287832,299754.5,305279.5,304463.5,310116.5,299410,283471,283685.5,281447.5,275719,273239.5,276404,282198.5,279169,274061,275717.5,276738.5,271525,261362.5,256075,258463.5,261548,263575.5,269351,286780,301338,309652,319815,321200.5,314979,309632.5,304813,297253.5,294462.5,286987,282629,290312,290322,298606.5,283925.5,248237.5,230809,189069.5,171442.5,180830.5,194509.5,247902.5,282246,301260,324938,339359.5,313047,259247,208643.5,170253.5,183663.5,209857.5,236958.5,252438,250413.5,249464.5,238871.5,229693.5,218274.5,198927.5,176617.5,153417,124943.5,107388.5,97077.5,74701.5,58362,61556.5,72010,68668,61240.5,51334,37570,29796,22001,16583.5,12418,9015,6061.5,4199,2953,2168.5,2591,1605.5,478.5
2000,CompleteOnly,females,Ex,154740.5,161838.5,171773,181378,191628.5,199303,209080,222654,237415.5,250038.5,261419.5,275913.5,287082,299503,305064,304226.5,309905,299630.5,283256,283244.5,280582,274486.5,271656,274913.5,280735.5,277486,272230.5,273833,275403.5,271080.5,261049,255481.5,257714.5,260701,262833,268536.5,285916,300275.5,308674,319053.5,320142,313803.5,308433,303550,296006,293129.5,285443.5,280960,288738,288760.5,296775,282001.5,246309,229056.5,187633,170046,179191.5,192658.5,245566.5,279530,297942.5,321026.5,334758.5,308450,255077,204796,166667,179365.5,204607.5,231172,245373,242100,240300,229226.5,219235,207200,187493.5,165214.5,142595,115265.5,97593.5,87989,67154.5,50987.5,53465,61493.5,57762.5,50756,41716.5,29719.5,23262.5,16396,12135.5,8968.5,6274,4115.5,2856.5,1947,1563.5,2067,1301.5
2001,CompleteOnly,females,Ex,151895,155035,161718.5,171062,180991,191588.5,198847,208276,221780.5,236624,249358,260743,274898.5,286335.5,299192.5,304804.5,304027.5,310584,299624,282750.5,282736.5,279705,273048,270082,273522,279381.5,275847.5,270386.5,271992.5,274183.5,270587.5,260745,254960.5,256868,259856.5,262024.5,267734.5,284984,299154,307607,318247,319052,312609,307160,302251.5,294754.5,291687,283874.5,279198.5,287073.5,287033,294843.5,279875,244319,227216,186081,168447,177459.5,190653.5,243024,276497.5,294502.5,316738.5,329734.5,303475.5,250475.5,200741,162885.5,174810,199045,224899,237756.5,233134.5,230675.5,218936,208352.5,195537.5,175651.5,153480.5,131638,105389.5,87696.5,78879,59729.5,43891.5,45704.5,51714,47923,41434,33096,23039,18134,11715,8720.5,6237.5,4221.5,2706,1851.5,1227,1118,1650.5
2002,CompleteOnly,females,Ex,152789,151991,155039,161398,170510,180983,191382,198472.5,207724.5,221286.5,236136.5,249033.5,260187.5,274231,285992.5,298948,304529.5,304862,310903.5,299238,282339.5,282301,278673,271978.5,269023.5,272660.5,278290,274727,269169.5,270875.5,273509.5,270225,260315,254268.5,256160.5,259115.5,261346.5,266984,284144,298133,306733.5,317379,317878,311536,305866.5,301069,293400,290272.5,282324.5,277563,285359.5,285173,292746,277712,242293.5,225254.5,184314.5,166780,175551,188447.5,240164.5,273143.5,290559.5,311826,324337.5,298028.5,245657.5,196316,158805,169981.5,193208.5,218186,229279.5,223704.5,220589,208280,197044,183686.5,163615,141711,120470.5,95288,78024.5,70606.5,51671.5,37608.5,38609.5,43032,39189.5,33211.5,25759.5,18213.5,13189,8359.5,6074,4225,2793,1784.5,1172.5,786,1151.5
2003,CompleteOnly,females,Ex,158867.5,152355.5,151712.5,154831,161200,170336,180790.5,191175.5,198307,207519.5,221115,235970.5,248819,259960,274001.5,285736,298726.5,305371.5,305188,310708.5,298907.5,281985,281703.5,278013.5,271435.5,268444.5,272119.5,277752.5,274158,268556.5,270324,272948,269673.5,259760.5,253713,255562,258474,260714,266332,283431,297237,305853,316444.5,316842,310446.5,304593,299831,292096.5,288838,280868,275891.5,283517.5,283199,290564.5,275523.5,240218.5,223124,182476.5,164965,173496.5,186141,236974.5,269409.5,286065,306660.5,318384,292148.5,240237,191518,154383,164960,186983.5,210575.5,220260,213814,209840.5,196968,185188.5,171197.5,151066,129638,108787.5,85249,68981.5,61392,44335.5,31814,31985,35170.5,31194,26125,19767.5,13446,9426.5,5717,4068.5,2820.5,1824.5,1155,747,1210
2004,CompleteOnly,females,Ex,166196,158468,152128.5,151539,154681,161064.5,170166.5,180625.5,191061,198158.5,207391.5,220984,235827.5,248675.5,259808,273820.5,285603.5,299722.5,305779.5,305031,310468,298579.5,281400.5,281096,277586,270917,267982.5,271654.5,277226.5,273625,268030.5,269851,272411,269147.5,259221.5,253195,254973,257820,260077.5,265686,282634.5,296425,304952,315450,315763,309184,303349.5,298528.5,290686,287340,279198.5,274176,281666,281130,288336,273226.5,238041,220939.5,180579,163070.5,171378,183719,233761,265386,281320.5,301134.5,312017,285895.5,234528,186329.5,149783,159602,180410.5,202456,210784.5,203368,198488.5,185203.5,172844,158340.5,138386,117248,97370.5,75551,60264,52666,37638.5,26413,26107,28042.5,24357.5,20124,14874.5,9597.5,6595,3697,2634.5,1790.5,1164.5,725.5,1252.5
2005,CompleteOnly,females,Ex,169373.5,165809,158312.5,152006,151446.5,154584.5,160956.5,170063,180547,190985,198092.5,207280,220927,235743,248580.5,259703,273743,286778,300276,305766.5,304870,310210,298001,280854,280743,277203,270536.5,267599.5,271251,276834.5,273132.5,267607,269351,271903.5,268672,258692,252681,254347,257187.5,259445,264965,281888.5,295525,303949.5,314394.5,314561.5,307930,302007,297198,289214,285650.5,277522,272454.5,279696.5,278964,285954.5,270697,235679.5,218654.5,178490,161008.5,169130,181100,230236,261014,276371.5,295290.5,305368.5,279199,228329.5,180848,144897,153934,173372,193930.5,200761.5,192441,186750.5,173099,160169.5,145271,125598,104977.5,86310.5,66367.5,52056.5,44681,31351,21671.5,20852,21940.5,18569.5,15257,10990.5,6761.5,4414.5,2299.5,1630,1120,717,1240.5
2006,CompleteOnly,females,Ex,175567,168998,165672.5,158217,151930,151355.5,154517.5,160881,170011,180489,190929.5,198013,207221.5,220865,235671.5,248490,259656,274984.5,287415,300391.5,305690.5,304758,309715.5,297525.5,280549,280483.5,276912.5,270286.5,267270,270889.5,276426,272690,267193,268894.5,271447.5,268072,258168,252115,253736,256610.5,258762,264287.5,281077.5,294554,302980.5,313259.5,313380,306598.5,300730.5,295797.5,287661.5,284002.5,275812,270655,277669,276758,283340.5,268061,233366,216231,176364,158924,166700.5,178310.5,226469,256518,271133,289093.5,298297,272097.5,221678,175028.5,139700,147903,165916.5,184804,190216,180969.5,174578.5,160486.5,147071,132034.5,112666,93049.5,75580,57643.5,44356,37123,25765.5,17407.5,16246.5,16709,13928.5,11300,7996.5,4561.5,2897,1342.5,971.5,652.5,1218
2007,CompleteOnly,females,Ex,184215,175185,168839.5,165576.5,158145,151847,151288,154465,160824.5,169936.5,180419,190880,197949.5,207174.5,220823.5,235567,248437.5,260950,275658,287551.5,300363.5,305580.5,304221,309239,297239,280338.5,280259.5,276686.5,269976.5,266931,270533.5,275998.5,272241,266797,268403,270872,267525.5,257651,251530,253136,255884,258075.5,263547.5,280195,293634.5,301917.5,312087.5,312070.5,305291,299331,294284.5,286083,282300.5,274046.5,268825,275529,274405,280772.5,265488.5,230966,213750.5,174279,156746.5,164186.5,175373,222675.5,251807,265608,282621,290921.5,264500.5,214728,168929,134328,141554.5,158152.5,175344,179289.5,169146.5,162162,147630.5,133984,118992.5,100207,81546.5,65535,49428.5,37185.5,30487,20857.5,13764.5,12417,12592.5,10127,8219.5,5751.5,3028,1837.5,759.5,558.5,1169
