year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2021,200,Ukraine,UKR,UKR,160,Russian Federation,RUS,RUS,8921,126,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,173,Spain,SPA,ESP,1515,2820,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,164,Serbia and Kosovo: S/RES/1244 (1999),SRB,SRB,15,0,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,180,Slovakia,SVK,SVK,24,0,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,181,Slovenia,SVN,SVN,5,0,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,183,Sweden,SWE,SWE,226,334,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,184,Switzerland,SWI,CHE,91,29,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,200,Ukraine,UKR,UKR,0,0,0,854000,0,0,1424800,NA,0
2021,200,Ukraine,UKR,UKR,201,Uruguay,URU,URY,11,6,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,202,United States of America,USA,USA,2608,11404,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,3,Albania,ALB,ALB,2542,5,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,8,Egypt,ARE,EGY,0,5,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,9,Argentina,ARG,ARG,121,59,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,10,Armenia,ARM,ARM,406,122,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,11,Australia,AUL,AUS,1527,502,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,12,Austria,AUS,AUT,89862,249,5000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,13,Azerbaijan,AZE,AZE,4770,77,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,17,Belgium,BEL,BEL,61975,685,4000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,24,Belarus,BLR,BLR,19384,532,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,25,Bolivia (Plurinational State of),BOL,BOL,5,0,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,27,Brazil,BRA,BRA,43,65,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,29,Bosnia and Herzegovina,BSN,BIH,147,0,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,30,Bulgaria,BUL,BGR,149215,16,40000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,33,Canada,CAN,CAN,75098,196,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,37,China,CHI,CHN,0,18,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,38,Chile,CHL,CHL,46,53,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,44,Colombia,COL,COL,8,21,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,45,Costa Rica,COS,CRI,13,40,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,48,Cyprus,CYP,CYP,12472,94,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,49,Czechia,CZE,CZE,433501,137,42000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,50,Denmark,DEN,DNK,32839,867,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,53,Dominican Rep.,DOM,DOM,0,14,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,54,Ecuador,ECU,ECU,79,5,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,57,Estonia,EST,EST,40298,518,5000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,61,Finland,FIN,FIN,44953,553,3000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,64,France,FRA,FRA,69302,1270,10000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,182423,976,4000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,71,Georgia,GEO,GEO,26446,52,1000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,72,Germany,GFR,DEU,1002999,1383,65000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,73,Ghana,GHA,GHA,0,5,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,76,Greece,GRE,GRC,21827,104,3000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,78,Guatemala,GUA,GTM,0,5,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,84,Croatia,HRV,HRV,19416,0,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,85,Hungary,HUN,HUN,29632,5,14000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,86,Iceland,ICE,ISL,2335,0,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,88,India,IND,IND,0,58,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,90,Ireland,IRE,IRL,70578,238,3000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,92,Iraq,IRQ,IRQ,0,5,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,93,Israel,ISR,ISR,30,384,0,0,0,0,30000,NA,0
2022,200,Ukraine,UKR,UKR,94,Italy,ITA,ITA,149872,1878,39000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,96,Jordan,JOR,JOR,0,10,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,97,Japan,JPN,JPN,2013,0,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,98,Kazakhstan,KAZ,KAZ,0,550,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,100,Kyrgyzstan,KGZ,KGZ,14,10,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,102,Rep. of Korea,KOR,KOR,17,22,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,109,Lebanon,LEB,LBN,0,16,0,0,0,0,8,NA,0
2022,200,Ukraine,UKR,UKR,111,Liechtenstein,LIE,LIE,402,0,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,113,Lithuania,LTU,LTU,65175,0,7000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,114,Luxembourg,LUX,LUX,4500,25,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,115,Latvia,LVA,LVA,37800,10,2000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,120,North Macedonia,MCD,MKD,6816,0,0,0,0,0,0,NA,0
